ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,1.1198534,0.41743457,0.6636644,0.03875431,0.32304588,0.008152312,30.998663,19.636795,16.77263,6.711618,0.64609176,0.016304623,0.814656,0.516062,0.19686115,0.07877458,252.38171,250.41885,336.0445,-26.348413,27.01313,7.0743866
1,2,10,0.01,1.0355282,0.3648264,0.63176113,0.03894072,0.3020043,0.0058320775,30.24441,19.029428,16.812922,6.309155,0.6040086,0.011664155,0.794834,0.5001003,0.19733404,0.07405082,252.4257,250.53682,336.72128,-25.338583,27.01313,6.876561
1,3,10,0.01,1.1765937,0.37899834,0.75770754,0.039887838,0.3078142,-0.004131336,33.122223,20.94293,17.016157,6.397921,0.6156284,-0.008262672,0.87046397,0.5503878,0.1997194,0.07509268,252.42111,250.4441,336.9982,-27.34085,27.01313,7.4094296
1,4,10,0.01,1.0338681,0.37842256,0.61314946,0.042296037,0.3075803,0.009216236,29.79558,19.485569,17.522299,6.7256293,0.6151606,0.018432472,0.7830386,0.51208776,0.20566,0.07893901,252.38048,250.36833,336.27866,-26.211199,27.01313,6.935003
1,5,10,0.01,3.5891056,1.35313,2.1931639,0.042811975,0.5816206,0.10557386,56.351337,-23.544348,17.628845,3.7251031,1.1632411,0.21114773,1.4809334,-0.6187541,0.20691055,0.04372171,252.39743,250.3604,336.80554,19.819244,27.02821,16.03991
1,6,10,0.01,3.575061,1.4007514,2.1316106,0.0426992,0.5917667,0.09282667,55.554928,-22.18844,17.60561,3.7620826,1.1835334,0.18565334,1.4600036,-0.58312017,0.20663784,0.044155728,252.39925,250.27686,337.04785,18.426357,27.02821,15.898227
1,7,10,0.01,3.5777638,1.3497045,2.185089,0.042970292,0.5808839,0.10640224,56.24751,-23.108725,17.66141,3.8433888,1.1617678,0.21280448,1.4782047,-0.6073055,0.20729277,0.04511003,252.3821,250.30699,336.2166,19.265335,27.02821,15.991388
1,8,10,0.01,3.612996,1.3354937,2.2343123,0.04318994,0.5778178,0.106690034,56.877514,-23.635998,17.706491,3.8356695,1.1556356,0.21338007,1.4947616,-0.6211627,0.20782189,0.045019418,252.40317,250.38165,336.82275,19.800327,27.02821,16.068731
1,9,10,0.01,2.1731818,1.1287847,1.0009384,0.043458786,0.5312214,0.07297674,38.069073,-24.323074,17.761515,3.604447,1.0624428,0.14595348,1.0004691,-0.63921916,0.2084677,0.042305563,252.42783,250.44316,337.29257,20.718628,27.034412,11.176274
1,10,10,0.01,2.1759157,1.1118956,1.0221801,0.041839965,0.5272323,0.09615017,38.4709,-24.348349,17.42757,3.8275008,1.0544646,0.19230033,1.0110292,-0.63988346,0.2045482,0.04492354,252.4165,250.44183,336.5788,20.520847,27.034412,11.311004
1,11,10,0.01,2.2142198,1.1324865,1.0390089,0.04272439,0.53209174,0.090107314,38.786297,-25.013151,17.610804,3.8199337,1.0641835,0.18021463,1.0193179,-0.65735465,0.20669879,0.044834733,252.4573,250.55524,337.32285,21.193218,27.034412,11.492062
1,12,10,0.01,2.202163,1.1515421,1.0070268,0.043594148,0.5365496,0.06890299,38.18468,-24.619202,17.789156,3.751931,1.0730993,0.13780598,1.0035073,-0.64700156,0.20879212,0.044036575,252.48001,250.6883,337.74515,20.867271,27.034412,11.417583
1,13,10,0.01,0.6369754,0.30664235,0.29307938,0.037253708,0.27687648,0.0062444215,20.599718,-13.710369,16.4447,2.4969544,0.55375296,0.012488843,0.54136807,-0.3603135,0.1930122,0.029306864,252.44322,250.5902,336.94427,11.213415,27.03974,3.9015055
1,14,10,0.01,0.6520839,0.3079072,0.30691305,0.037263602,0.27744693,0.0014791711,21.080278,-13.977361,16.446884,2.500485,0.55489385,0.0029583422,0.55399734,-0.36733007,0.19303782,0.029348297,252.5035,250.74165,337.67764,11.476875,27.03974,3.9408906
1,15,10,0.01,0.6786131,0.32192117,0.31743684,0.039255086,0.28369048,-0.012748157,21.438646,-14.266551,16.880651,2.1584144,0.56738096,-0.025496313,0.56341535,-0.37493014,0.19812897,0.025333416,252.59706,251.16734,338.38657,12.108137,27.03974,4.071941
1,16,10,0.01,0.66498643,0.31401324,0.31410456,0.036868654,0.28018442,0.0044239075,21.325825,-14.067593,16.359491,2.3520706,0.56036884,0.008847815,0.5604503,-0.36970142,0.19201212,0.027606357,252.60255,251.34268,337.84756,11.715522,27.03974,3.975912
1,17,10,0.01,0.51405746,0.2829691,0.21390165,0.017186698,0.2659742,-0.050269213,17.598503,0.24832585,11.169595,-1.2722683,0.5319484,-0.100538425,0.46249503,0.00652608,0.13109805,-0.014932667,252.6482,251.37575,338.29108,1.0239425,27.049093,5.2541203
1,18,10,0.01,0.540789,0.3139884,0.20679022,0.020010397,0.28017333,-0.058688793,17.30349,0.20158818,12.052276,-1.6498125,0.56034666,-0.11737759,0.45474193,0.005297863,0.14145811,-0.019363927,252.69577,251.52722,338.6126,1.4482243,27.049093,5.4404807
1,19,10,0.01,0.53525436,0.29361966,0.22330232,0.018332377,0.27093342,-0.046637125,17.98106,0.29138276,11.535875,-1.3515437,0.54186684,-0.09327425,0.47254875,0.0076576197,0.1353971,-0.015863128,252.7151,251.72267,338.1119,1.0601609,27.049093,5.3517437
1,20,10,0.01,0.5347519,0.29974294,0.21686159,0.01814733,0.27374393,-0.04993855,17.719849,0.65680087,11.477507,-1.4126688,0.54748785,-0.0998771,0.465684,0.017260952,0.13471203,-0.016580567,252.76279,251.88084,338.61572,0.75586796,27.049093,5.4487395
1,21,10,0.01,0.64318365,0.34365323,0.29246584,0.007064583,0.29310971,-0.06102251,20.578146,10.441487,7.161178,-2.867076,0.58621943,-0.12204502,0.5408011,0.27440608,0.08405107,-0.033651,252.80295,251.99988,339.04285,-7.5744114,27.060654,5.127285
1,22,10,0.01,0.62028843,0.32430646,0.2897743,0.0062076272,0.28473955,-0.042687,20.483238,10.25254,6.712805,-2.492203,0.5694791,-0.085374,0.5383069,0.26944047,0.0787885,-0.029251099,252.78065,251.98288,338.3724,-7.760337,27.060654,5.026191
1,23,10,0.01,0.6108307,0.31583592,0.28887558,0.0061192056,0.2809964,-0.045378357,20.451448,10.043462,6.6648254,-2.5012996,0.5619928,-0.090756714,0.5374715,0.26394576,0.07822535,-0.029357867,252.84155,252.19034,339.0988,-7.542162,27.060654,4.9728794
1,24,10,0.01,0.63417315,0.3345421,0.29214707,0.007483961,0.28919807,-0.05850614,20.566927,10.131856,7.3706703,-2.7984402,0.57839614,-0.11701228,0.5405063,0.26626888,0.08650989,-0.032845423,252.93312,252.55946,339.7163,-7.333416,27.060654,5.050292
1,25,10,0.01,0.50250906,0.25995174,0.22905186,0.013505482,0.2549273,-0.015008627,18.211073,13.65232,9.901392,-2.439332,0.5098546,-0.030017255,0.47859362,0.3587879,0.11621309,-0.028630553,252.9858,252.85966,339.20044,-11.212988,27.070738,3.6311083
1,26,10,0.01,0.4971891,0.26362598,0.22020124,0.013361861,0.2567226,-0.019151488,17.855768,13.244415,9.848603,-2.3618703,0.5134452,-0.038302977,0.46925604,0.34806806,0.115593515,-0.027721379,253.0835,253.18138,340.0457,-10.882545,27.070738,3.7005463
1,27,10,0.01,0.53780735,0.28442216,0.24030517,0.013079992,0.26665622,-0.031265005,18.653069,13.734479,9.744172,-2.5754044,0.53331244,-0.06253001,0.4902093,0.36094707,0.11436779,-0.030227637,253.12904,253.3399,340.18442,-11.159075,27.070738,3.8655992
1,28,10,0.01,0.5012683,0.26786816,0.22026213,0.013138044,0.2587799,-0.018929964,17.858236,13.303252,9.765771,-2.2741838,0.5175598,-0.037859928,0.46932092,0.3496143,0.114621304,-0.0266922,253.07437,253.19241,339.29373,-11.029068,27.070738,3.6528141
1,29,10,0.01,0.30841812,0.09178576,0.19723642,0.019395947,0.15148082,0.004283297,16.899048,9.630118,11.865791,-1.99432,0.30296165,0.008566594,0.44411308,0.253083,0.13926934,-0.023407435,253.06377,253.00795,339.82956,-7.6357985,27.080738,2.4764786
1,30,10,0.01,0.35727197,0.123151384,0.21313576,0.02098483,0.17546466,-0.006447769,17.566967,10.2862015,12.342238,-2.1585448,0.35092932,-0.012895538,0.4616663,0.27032512,0.14486142,-0.02533495,253.08127,252.98984,340.04852,-8.127657,27.080738,2.6442971
1,31,10,0.01,0.32497284,0.099380724,0.2032236,0.022368517,0.15762354,0.0024733783,17.153618,9.987731,12.742651,-1.7950366,0.3152471,0.0049467566,0.45080328,0.26248118,0.14956108,-0.021068428,253.10818,253.19951,339.6902,-8.192695,27.080738,2.5112507
1,32,10,0.01,0.31239268,0.093648255,0.19692352,0.021820894,0.15301001,0.0036767835,16.885641,9.563127,12.585702,-1.7826145,0.30602002,0.007353567,0.44376066,0.25132242,0.14771897,-0.020922637,253.21422,253.59058,340.39062,-7.780512,27.080738,2.5108972
1,33,10,0.01,0.2287432,0.09201419,0.12335621,0.013372792,0.1516692,-0.015950123,13.364391,2.3231342,9.852632,-1.4737055,0.3033384,-0.031900246,0.35122102,0.061052833,0.11564079,-0.017296948,253.28018,253.8503,340.61868,-0.84942865,27.089922,2.0440526
1,34,10,0.01,0.20563191,0.069630116,0.12322331,0.012778496,0.1319376,-0.008021451,13.35719,2.162519,9.631215,-1.2799642,0.2638752,-0.016042901,0.35103178,0.056831777,0.11304201,-0.015022996,253.24228,253.68044,339.78867,-0.88255477,27.089922,2.009906
1,35,10,0.01,0.19938093,0.061454605,0.124901265,0.0130250575,0.1239502,-0.004725047,13.447826,1.8859915,9.723688,-1.1032112,0.2479004,-0.009450094,0.35341373,0.04956452,0.114127375,-0.012948442,253.24089,253.53477,340.20447,-0.7827803,27.089922,2.0078447
1,36,10,0.01,0.2369867,0.092884585,0.12962623,0.014475882,0.15238486,-0.016690297,13.699827,2.487186,10.250941,-1.249283,0.30476972,-0.033380594,0.36003643,0.065364145,0.12031576,-0.014662888,253.24982,253.53922,340.48334,-1.237903,27.089922,2.0807483
1,37,10,0.01,0.1791001,0.1120116,0.061026864,0.0060616457,0.16734067,-0.00199982,9.40003,-4.2179775,6.633404,0.34668562,0.33468133,-0.00399964,0.24703616,-0.11084998,0.07785657,0.004069064,253.24376,253.57617,339.83432,3.8712919,27.099487,1.7678667
1,38,10,0.01,0.1759081,0.10887277,0.061466116,0.0055692266,0.16497937,0.0005108213,9.433798,-4.579706,6.358266,0.44696924,0.32995874,0.0010216426,0.24792361,-0.120356336,0.07462725,0.0052460986,253.32457,253.84627,340.56573,4.132737,27.099487,1.7550662
1,39,10,0.01,0.19589448,0.12624764,0.06337896,0.006267871,0.17765673,-0.010524101,9.579464,-4.6721687,6.7452993,0.4665505,0.35531345,-0.021048201,0.25175178,-0.1227863,0.079169884,0.005475926,253.40866,254.23854,341.12262,4.2056184,27.099487,1.85816
1,40,10,0.01,0.18480913,0.11933263,0.05978629,0.0056902105,0.17272277,0.0021012933,9.303995,-4.172,6.426957,0.65858006,0.34544554,0.0042025866,0.24451235,-0.10964169,0.075433485,0.0077297846,253.43034,254.38617,340.54562,3.5134199,27.099487,1.7996821
1,41,10,0.01,0.22669195,0.11290291,0.10571567,0.008073369,0.16800514,0.024664517,12.371955,-6.479904,7.655413,1.8450191,0.33601028,0.049329035,0.32513946,-0.17029421,0.08985193,0.021655073,253.48112,254.5825,341.07852,4.634885,27.109554,1.965555
1,42,10,0.01,0.23058802,0.109979875,0.11256403,0.00804412,0.16581607,0.011228277,12.766401,-6.98331,7.6415324,1.8101298,0.33163214,0.022456555,0.33550563,-0.18352392,0.08968902,0.021245573,253.49767,254.65025,341.70383,5.1731806,27.109554,1.9898543
1,43,10,0.01,0.2246656,0.10728839,0.1090006,0.008376615,0.16377454,0.019623758,12.562703,-6.4588523,7.7978606,1.9627244,0.32754907,0.039247517,0.3301524,-0.16974096,0.09152385,0.023036595,253.42883,254.36516,340.81052,4.496128,27.109554,1.9371965
1,44,10,0.01,0.22809045,0.10777829,0.11126575,0.009046417,0.16414802,0.02150919,12.692565,-6.584428,8.103627,2.001765,0.32829604,0.04301838,0.3335652,-0.17304114,0.09511265,0.023494808,253.44563,254.29167,341.1938,4.5826626,27.109554,1.9280599
1,45,10,0.01,0.21825203,0.06958525,0.13341235,0.015254436,0.13189508,0.016797548,13.898461,-6.3034716,10.522992,2.4693727,0.26379016,0.033595096,0.36525655,-0.1656575,0.12350885,0.028983142,253.5132,254.51353,341.3284,3.8340988,27.11862,1.7050239
1,46,10,0.01,0.21702646,0.07260303,0.13063227,0.013791162,0.13472475,0.023108691,13.752887,-5.7639904,10.005565,2.3026106,0.2694495,0.046217382,0.36143085,-0.15147977,0.117435776,0.027025845,253.538,254.55942,340.51752,3.4613798,27.11862,1.7411803
1,47,10,0.01,0.21411732,0.07361806,0.12683068,0.013668567,0.13566324,0.025083058,13.551297,-5.7799826,9.960995,2.2159991,0.27132648,0.050166115,0.35613295,-0.15190001,0.11691265,0.026009278,253.5581,254.55966,340.74915,3.5639834,27.11862,1.7326357
1,48,10,0.01,0.20905873,0.0627236,0.13208681,0.014248304,0.1252234,0.014534639,13.829243,-6.5538607,10.170042,2.351101,0.2504468,0.029069278,0.3634375,-0.17223784,0.11936626,0.027594974,253.565,254.62906,341.157,4.2027597,27.11862,1.6977669
1,49,10,0.01,0.14679138,0.051896356,0.081331186,0.013563838,0.11390386,0.013501709,10.851686,-3.5533533,9.92276,1.9264351,0.22780772,0.027003419,0.28518623,-0.093383424,0.11646389,0.022610664,253.52693,254.54317,340.4229,1.6269182,27.125456,1.3445836
1,50,10,0.01,0.14974394,0.053910308,0.08278026,0.013053388,0.116092965,0.0138736665,10.94793,-3.5268178,9.734259,2.0067089,0.23218593,0.027747333,0.28771558,-0.09268605,0.11425143,0.023552842,253.54344,254.50357,340.9622,1.5201089,27.125456,1.3891723
1,51,10,0.01,0.14247742,0.046912353,0.08186001,0.013705064,0.1082963,0.010422221,10.886908,-3.8383303,9.974284,2.2428043,0.2165926,0.020844443,0.2861119,-0.10087272,0.117068626,0.026323896,253.58148,254.62498,341.33945,1.595526,27.125456,1.3275784
1,52,10,0.01,0.15149525,0.053627137,0.08452539,0.013342726,0.11578767,0.013500307,11.062728,-3.4473255,9.84155,2.0994039,0.23157534,0.027000614,0.2907325,-0.09059696,0.11551072,0.024640799,253.59532,254.77296,340.60605,1.3479216,27.125456,1.3783665
1,53,10,0.01,0.10166296,0.06320154,0.030264685,0.008196745,0.12569958,-0.002128827,6.619676,-0.5912117,7.7136855,1.6314241,0.25139916,-0.004257654,0.17396748,-0.015537257,0.09053588,0.019148096,253.66829,255.04019,341.32828,-1.0402124,27.131056,1.0330582
